ENTERPRISEID,CUSTOMERENTERPRISEID,CLIENTENTERPRISEID,CLIENTLOCATIONENTERPRISEID,SECURITYPROVIDERENTERPRISEID,GUARDQUALIFICATIONENTERPRISEID,SERVICELINECURRENTENTERPRISEID,WORKORDERTERMINATIONREASONENTERPRISEID,NUMBER,FULFILLMENTTYPE,CLASS,CATEGORY,POSITION,BILLINGCODE,STARTDATE,ENDDATE,DATECREATEDUTC,DATEMODIFIEDUTC
FDBD1202-513F-44AC-B590-A095B2332741,Psrm-CUS000001,Psrm-C0000589,Psrm-CL0261797,Psrm-V0006500,Psrm-WOGQ000002,Psrm-SL000008,Psrm-WOTR000007,T6500.206511,MSP,Terminated,Temporary,Unarmed Officer 1,N/A,2023-10-18T17:00:00Z,2023-10-18T17:00:00Z,2023-10-19T10:02:00-07:00,2023-10-19T10:02:00-07:00
32668F3A-F7B6-47F8-8230-819BD9A59342,Psrm-CUS000001,Psrm-C0000067,Psrm-CL0056972,Psrm-V0002513,Psrm-WOGQ000002,Psrm-SL000008,,E4142.201479,MSP,Revised,Emergency,Test UUG,N/A,2023-10-19T16:00:00Z,,2023-05-30T14:47:00-07:00,2023-10-19T16:50:00.676002-07:00
898D89A4-E48B-4CC3-B6DB-18D17410951E,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0296780,Psrm-V0006380,Psrm-WOGQ000002,Psrm-SL000008,,T6380.199514,MSP,Revised,Temporary,Unarmed Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T08:00:00Z,,2023-05-04T16:45:00-07:00,2023-10-19T17:46:30.47071-07:00
548B3EE4-8290-4395-929E-AFF17DCC0075,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0290125,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,T6380.205132,MSP,Revised,Temporary,Armed 3,odsdispatcher@offdutyservices.com,2023-10-20T08:00:00Z,,2023-07-13T18:40:00-07:00,2023-10-19T17:51:24.328741-07:00
FA52B0FC-467E-4176-8550-201E2E499668,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0297753,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.213603,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-10-05T16:44:00-07:00,2023-10-19T17:54:45.774318-07:00
3D2A3173-B815-4D9D-A1D2-C8EE823838D5,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289925,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,L6380.196598,MSP,Revised,Long Term,Armed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-03-31T18:15:00-07:00,2023-10-19T17:55:38.664049-07:00
4F71D6D4-38CF-443F-9ADE-6439475AC27B,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0281457,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.203859,MSP,Revised,Emergency,Armed Officer 1,odsdispatcher@offdutyservices.com,2023-10-20T08:30:00Z,,2023-06-27T23:58:00-07:00,2023-10-19T17:58:06.166572-07:00
F69AA4A1-970A-4A6F-AB9C-7F1844A3641B,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288181,Psrm-V0007298,Psrm-WOGQ000002,Psrm-SL000008,,L7298.201874,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:00:00Z,,2023-06-02T17:50:00-07:00,2023-10-19T18:02:32.991468-07:00
31763F07-E626-4D5B-BC8B-79D1FA700D5A,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0288063,Psrm-V0007299,Psrm-WOGQ000002,Psrm-SL000008,,L7299.201875,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:45:00Z,,2023-06-02T17:53:00-07:00,2023-10-19T18:02:53.541435-07:00
E1052568-C54F-4F96-8330-38899D92739A,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0287753,Psrm-V0002991,Psrm-WOGQ000002,Psrm-SL000008,,L2991.201641,MSP,Revised,Long Term,Unarmed Officer 1,N/A,2023-10-20T08:45:00Z,,2023-05-31T20:49:00-07:00,2023-10-19T18:03:12.863683-07:00
B902ADE3-49FA-410D-B272-59E84941F24F,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0289633,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,,E6380.204590,MSP,Revised,Temporary,Armed Officer 2,N/A,2023-10-20T08:30:00Z,2023-12-30T17:30:00Z,2023-07-06T18:30:00-07:00,2023-10-19T18:03:33.577676-07:00
F2467D38-EE9A-40C6-AFF9-946DCD353D0A,Psrm-CUS000001,Psrm-C0000872,Psrm-CL0292577,Psrm-V0006380,Psrm-WOGQ000001,Psrm-SL000008,Psrm-WOTR000001,E6380.200153,MSP,Revised,Emergency,Armed Officer 1,N/A,2023-10-20T08:30:00Z,2023-12-30T17:30:00Z,2023-05-12T12:19:00-07:00,2023-10-19T18:05:01.329599-07:00
